code,name,price,unit
00001450,Շոկոլադե սալիկ «Լինդտ» Էքսցելենս կակաո դառը 99% 50գր,3310.00,Հատ
00002225,Ըմպելիք «Մոնթ Բերրի» ալոե վերա 1,5լ,1050.00,Հատ
00002790,Գարեջուր «Զատեցկի Գուս» ա/տ 0,45լ,570.00,Հատ
00004210,Գարեջուր Հեյնեկեն ա/տ 0,5լ,920.00,Հատ
00004956,Տոմատի մածուկ «Վիելլո» 1050գր,1260.00,Հատ
00004971,Ձիթապտղի խավիար «Վիելլո» ա/տ 350գր,570.00,Հատ
00005398,Լիմոնադ «Նատախտարի» սապերավի 1լ,650.00,Հատ
00006073,Շոկ սալիկ «Նեսթլե» կաթնային շոկոլադ 75գր,500.00,Հատ
00007681,Հանքային ջուր «Ջերմուկ» լիմոն պլտ 1լ,310.00,Հատ
00008017,Գազավորված ըմպելիք «Ռեալ» առանց շաքարի 1լ,390.00,Հատ
00008208,Մարինացված մանր վարունգ «Կուպոլիվա» 6-9սմ 1415գր,1870.00,Հատ
00008850,Սոխ սպիտակ,240.00,Կգ
00008970,Կանաչի խառն,390.00,Հատ
00008971,Համեմ,380.00,Հատ
00009366,Պոլիէթիլենային տոպրակ Ռոկոլլա մեծ,70.00,Հատ
00009368,Պոլիէթիլենային տոպրակ Ռոկոլլա միջին,50.00,Հատ
00009510,Թարխուն,290.00,Հատ
00009584,Թան «Ռոնիս» 1.5% 0.5լ,280.00,Հատ
00009762,Նեկտարին,1110.00,Կգ
00010963,Կեռաս,2860.00,Կգ
00011227,Հավկիթ «Արզնի» Ձվաշեն #02 20հատ,2070.00,Հատ
00011237,Մածուն «Թամարա» 3,2% 1800գր,1380.00,Հատ
00012111,Կանաչ ձիթապտղի պաշտետ «Վիելլո» ա/տ 200գր,630.00,Հատ
00012112,Սև ձիթապտղի պաշտետ «Վիելլո» ա/տ 240գր,830.00,Հատ
00012152,Երշիկ չոր հում կպցրած «Միրատորգ» Սալչիչոն 280գր,2490.00,Հատ
00012434,Երշիկ կիսաապխտած Սերվելատ «Ցարիցինո» 420գր,1190.00,Հատ
00012609,Սալոր,980.00,Կգ
00012782,Լվացքի փոշի «Թայդ» սպիտակ կիտրոն 1.6կգ,2060.00,Հատ
00013389,Բիոկեֆիր «Մարիաննա» 1.0% 450մլ,400.00,Հատ
00014223,Սկոչ «Դակ» փոքր,60.00,Հատ
00014306,Կաթ «Չանախ» 3.2% 950մլ,570.00,Հատ
00015597,Կետչուպ «Գլաստո» ջլի 830գր,640.00,Հատ
00015621,Կաթ «Սոֆիա կաթ» 3,2% պաստերացված 1լ,600.00,Հատ
00015667,Կանաչ ոլոռ «Լուտիկ» ա/տ 690գր,880.00,Հատ
00015717,Կաթնային ըմպելիք «Սպորտ Բարիստա» շոկոլադե պրոտեինով 1լ,1730.00,Հատ
00015821,Խուրմա «Տոմտուր» 600գր,800.00,Հատ
00017349,Երշիկ հում ապխտած «Չերկիզովո» Սալչիչոն 300գր,2070.00,Հատ
00017578,Գաթա կաթով «Դոմաշնի» 500գր,880.00,Հատ
00017919,Թխվածքաբլիթ «Լոտտե» Չոկո Պայ բանանի 336գր,1090.00,Հատ
00018001,Թխվածքաբլիթ «Չոկո Պայ Օրիոն» 360գր,820.00,Հատ
00018004,Լոբի կանաչ «Նուշ»,950.00,Կգ
00018073,Սև թեյ «Գրանդ Թեյ» ուրցով և դաղձով 25հատ,1080.00,Հատ
00018436,Մաքրող և ախտահանող միջոց «Նաշ Սադ» ալպիական թարմություն 750մլ,730.00,Հատ
00018437,Մաքրող և ախտահանող միջոց «Նաշ Սադ» գերհզոր ուժ 750մլ,730.00,Հատ
00018569,Պաղպաղակ «Նավիրի Լենտ» բալի 0,6կգ,1000.00,Հատ
00018782,Սոսինձ «Մոմենտ» 3գր,150.00,Հատ
00018856,Շոկ սալիկ «ԿիտԿատ» կաթ շոկ թխվածքաբլիթի և վաֆլիի միջուկով 99գր,620.00,Հատ
00019004,Պանիր չանախ «Երևան» ջրի մեջ 800գր,2700.00,Հատ
00019471,Հավի դոշ ոսկրահան «Լուսակերտ» 1կգ,2540.00,Հատ
