code,name,price,unit,fname
00001450,Шоколадная плитка «Lindt» Excellence горький какао 99% 50г,3310.00,Шт,
00002225,Напиток «Mont Berry» алоэ вера 1.5л,1050.00,Шт,
00002790,Пиво «Жатецкий Гусь» ж/б 0.45л,570.00,Шт,
00004210,Пиво Хайнекен ж/б 0.5л,920.00,Шт,
00004956,Томатная паста «Виелло» 1050г,1260.00,Шт,
00004971,Икра из оливок «Виелло» ж/б 350г,570.00,Шт,
00005398,Лимонад «Натахтари» саперави 1л,650.00,Шт,
00006073,Шоколадный батончик «Нестле» молочный шоколад 75г,500.00,Шт,
00007681,Минеральная вода «Джермук» лимон пл 1л,310.00,Шт,
00008017,Газированный напиток «Реал» без сахара 1л,390.00,Шт,
00008208,Маринованные огурцы «Куполива» 6-9см 1415г,1870.00,Шт,
00008850,Лук белый,240.00,Кг,
00008970,Зелень микс,390.00,Шт,
00008971,Кинза,380.00,Шт,
00009366,Полиэтиленовый пакет Роколла большой,70.00,Шт,
00009368,Полиэтиленовый пакет Роколла средний,50.00,Шт,
00009510,Тархун,290.00,Шт,
00009584,Тан «Ронис» 1.5% 0.5л,280.00,Шт,
00009762,Нектарин,1110.00,Кг,
00010963,Черешня,2860.00,Кг,
00011227,Яйца «Арзни» Дзвашен #02 20шт,2070.00,Шт,
00011237,Мацун «Тамара» 3.2% 1800г,1380.00,Шт,
00012111,Паштет из зеленых оливок «Виелло» ж/б 200г,630.00,Шт,
00012112,Паштет из черных оливок «Виелло» ж/б 240г,830.00,Шт,
00012152,Колбаса сырокопченая «Мираторг» Сальчичон 280г,2490.00,Шт,
00012434,Полукопченая колбаса Сервелат «Царицыно» 420г,1190.00,Шт,
00012609,Слива,980.00,Кг,
00012782,Стиральный порошок «Тайд» белый лимон 1.6кг,2060.00,Шт,
00013389,Биокефир «Марианна» 1.0% 450мл,400.00,Шт,
00014223,Скотч «Дак» маленький,60.00,Шт,
00014306,Молоко «Чанах» 3.2% 950мл,570.00,Шт,
00015597,Кетчуп «Гласто» чили 830г,640.00,Шт,
00015621,Молоко «София Кат» 3.2% пастеризованное 1л,600.00,Шт,
00015667,Зеленый горошек «Лютик» ж/б 690г,880.00,Шт,
00015717,Молочный напиток «Спорт Бариста» шоколадный протеин 1л,1730.00,Шт,
00015821,Хурма / Финики «Томтур» 600г,800.00,Шт,
00017349,Сырокопченая колбаса «Черкизово» Сальчичон 300г,2070.00,Шт,
00017578,Гата молочная «Домашний» 500г,880.00,Шт,
00017919,Печенье «Лотте» Чоко Пай банан 336г,1090.00,Шт,
00018001,Печенье «Чоко Пай Орион» 360г,820.00,Шт,
00018004,Фасоль зеленая «Нуш»,950.00,Кг,
00018073,Черный чай «Гранд Чай» с чабрецом и мятой 25шт,1080.00,Шт,
00018436,Чистящее и дезинфицирующее средство «Наш Сад» альпийская свежесть 750мл,730.00,Шт,
00018437,Чистящее и дезинфицирующее средство «Наш Сад» сверхсила 750мл,730.00,Шт,
00018569,Мороженое «Навири Лент» вишня 0.6кг,1000.00,Шт,
00018782,Клей «Момент» 3г,150.00,Шт,
00018856,Шоколадная плитка «КитКат» молочный шок. с печеньем и вафельной начинкой 99г,620.00,Шт,
00019004,Сыр чанах «Ереван» в воде 800г,2700.00,Шт,
00019471,Куриная грудка без кости «Лусакерт» 1кг,2540.00,Шт,լուսակերտ-հավի-կրծքամիս
